TREEID,ONSTREET,CROSSSTREE,CROSSSTR_1,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE
79841,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  132 STREET,2,7,STJA2,Manhattan,10027
79852,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  132 STREET,2,5,PLAC,Manhattan,10027
79855,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,6,ZESE,Manhattan,10027
79845,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,4,PYCA,Manhattan,10027
79854,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,11,ZESE,Manhattan,10027
79857,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  132 STREET,2,5,PYCA,Manhattan,10027
79862,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,11,ZESE,Manhattan,10027
79865,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,4,0,,Manhattan,10027
79869,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,3,PLAC,Manhattan,10027
79878,ADAM C POWELL BOULEVARD,WEST  128 STREET,WEST  127 STREET,2,6,PLAC,Manhattan,10027
79886,WEST  122 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,9,PYCA,Manhattan,10027
79858,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,12,ZESE,Manhattan,10027
79863,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  132 STREET,2,4,PYCA,Manhattan,10027
79867,ADAM C POWELL BOULEVARD,WEST  128 STREET,WEST  127 STREET,2,6,PLAC,Manhattan,10027
79871,ADAM C POWELL BOULEVARD,WEST  128 STREET,WEST  127 STREET,2,4,PLAC,Manhattan,10027
79883,ADAM C POWELL BOULEVARD,WEST  128 STREET,WEST  127 STREET,2,6,PLAC,Manhattan,10027
79888,ADAM C POWELL BOULEVARD,WEST  128 STREET,WEST  127 STREET,2,2,ZESE,Manhattan,10027
79894,ADAM C POWELL BOULEVARD,WEST  128 STREET,WEST  127 STREET,2,10,ZESE,Manhattan,10027
79899,ADAM C POWELL BOULEVARD,WEST  128 STREET,WEST  127 STREET,2,1,PYCA,Manhattan,10027
79893,WEST  122 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,11,PYCA,Manhattan,10027
79896,WEST  122 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,8,GIBI,Manhattan,10027
79900,WEST  122 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,9,GIBI,Manhattan,10027
